type,intensity,zone_id,zone_name,lat,lng,risk_score,hour,dow,created_at,validation_status,is_anonymous
Theft/Robbery,High,puente-madera,Puente Madera,4.8587743428306025,-74.03153365286023,87,9,3,2026-01-29 09:08:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.864096908956922,-74.0318166613499,47,4,4,2025-11-28 04:13:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858990842563101,-74.03135251305416,44,9,5,2026-03-07 09:37:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863802768013076,-74.03190836707712,44,7,2,2026-02-25 07:54:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858723392454313,-74.03188865604892,59,7,1,2026-02-24 07:18:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858562542494152,-74.03170856622405,83,18,0,2025-12-01 18:49:00,verified,True
Theft/Robbery,High,ad-portas,Ad Portas,4.863367592777344,-74.03228792148053,97,17,0,2026-03-16 17:23:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858629844739903,-74.03149249435906,62,17,4,2026-04-24 17:34:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858566123455095,-74.03148381548205,66,7,0,2026-01-26 07:47:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858750139603669,-74.03162612773798,46,9,4,2026-02-20 09:08:00,verified,True
Suspicious Person,Medium,ad-portas,Ad Portas,4.863459488016331,-74.03098208872619,49,14,2,2026-05-13 14:04:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858463457814208,-74.03134149101757,35,16,5,2026-05-02 16:12:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858716772719001,-74.03189793402477,34,17,3,2025-11-20 17:31:00,discarded,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.8587143722471735,-74.031358306684,52,6,1,2026-01-20 06:56:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.863605305515284,-74.03184344147823,5,14,4,2026-04-24 14:13:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.8585310311583205,-74.03159812775418,92,6,4,2026-01-16 06:01:00,verified,True
Suspicious Person,Medium,ad-portas,Ad Portas,4.86374308548687,-74.03242821606214,53,18,4,2026-01-30 18:13:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858597983543917,-74.03164138440006,87,19,5,2026-03-21 19:12:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858881199904499,-74.03131974397617,69,18,0,2026-05-11 18:41:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.85861315752483,-74.03143974731371,91,8,3,2026-01-08 08:28:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858579165152431,-74.03154313179533,66,19,4,2026-03-13 19:54:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858435758675184,-74.03134349483551,96,8,0,2026-01-19 08:31:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863618396963526,-74.03132158684085,54,10,4,2026-02-27 10:50:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858545976049079,-74.0314337208789,68,18,4,2026-05-08 18:09:00,verified,True
Suspicious Person,Medium,ad-portas,Ad Portas,4.863629252188267,-74.03109714253767,18,20,0,2026-05-11 20:25:00,pending,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858839380500875,-74.03148859058635,46,14,2,2025-12-10 14:37:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.858693352155307,-74.03190351378291,47,10,1,2026-01-20 10:08:00,verified,False
